,2014-05-03,,,2014-05-10,,,2014-05-18,,,2014-05-24,,,2014-05-31,,,2014-06-08,,,2014-06-15,,,2014-06-21,,,2014-06-28,,,2014-07-05,,,2014-07-12,,,2014-07-21,,,2014-07-26,,,2014-08-02,,,2014-08-16,,,2014-08-23,,,2014-08-30,,,2014-09-06,,,2014-09-13,,,2014-09-20,,,2014-10-03,,"
"
state,"premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","premier agents","all agents","premier as % of all","
"
"US total",26888,662473,0.0406,26962,666378,0.0405,26957,669834,0.0402,27200,672988,0.0404,27265,675372,0.0404,27265,675372,0.0404,27315,681430,0.0401,27008,683995,0.0395,27685,686680,0.0403,28011,696747,0.0402,28046,699028,0.0401,28157,701791,0.0401,28233,703712,0.0401,28261,706266,0.0400,28411,711244,0.0399,28427,713827,0.0398,28515,716102,0.0398,28572,718170,0.0398,28667,720512,0.0398,28928,731083,0.0396,6324,194074,0.0326,"
"
AK,139,847,0.1641,138,849,0.1625,139,859,0.1618,146,865,0.1688,144,867,0.1661,144,867,0.1661,142,877,0.1619,144,882,0.1633,145,884,0.1640,142,900,0.1578,140,903,0.1550,141,904,0.1560,143,905,0.1580,141,909,0.1551,143,919,0.1556,146,926,0.1577,148,927,0.1597,150,932,0.1609,148,936,0.1581,156,954,0.1635,77,959,0.0803
AL,391,5426,0.0721,396,5458,0.0726,396,5494,0.0721,403,5529,0.0729,407,5548,0.0734,407,5548,0.0734,414,5622,0.0736,418,5637,0.0742,421,5661,0.0744,435,5752,0.0756,437,5774,0.0757,441,5806,0.0760,440,5829,0.0755,440,5853,0.0752,449,5898,0.0761,450,5914,0.0761,447,5936,0.0753,449,5964,0.0753,460,5979,0.0769,462,6055,0.0763,100,6100,0.0164
AR,281,2916,0.0964,283,2939,0.0963,284,2945,0.0964,285,2957,0.0964,285,2977,0.0957,285,2977,0.0957,294,3008,0.0977,293,3023,0.0969,294,3035,0.0969,294,3080,0.0955,284,3090,0.0919,290,3111,0.0932,285,3113,0.0916,292,3125,0.0934,297,3143,0.0945,290,3163,0.0917,294,3183,0.0924,292,3200,0.0912,294,3211,0.0916,290,3255,0.0891,80,0,0.0000
AS,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333,1,3,0.3333
AZ,600,20552,0.0292,602,20695,0.0291,609,20822,0.0292,608,20893,0.0291,623,20963,0.0297,623,20963,0.0297,632,21156,0.0299,656,21272,0.0308,652,21351,0.0305,669,21742,0.0308,673,21799,0.0309,667,21892,0.0305,678,21952,0.0309,669,22022,0.0304,670,22147,0.0303,664,22238,0.0299,673,22294,0.0302,659,22366,0.0295,626,22438,0.0279,665,22809,0.0292,141,0,0.0000
CA,2028,109676,0.0185,2037,110253,0.0185,2013,110716,0.0182,2027,111166,0.0182,2027,111464,0.0182,2027,111464,0.0182,2018,112272,0.0180,2033,112601,0.0181,2046,112969,0.0181,2039,114501,0.0178,2050,114777,0.0179,2046,115150,0.0178,2035,115441,0.0176,2039,115831,0.0176,2051,116553,0.0176,2047,116929,0.0175,2058,117276,0.0175,2048,117560,0.0174,2040,117875,0.0173,2041,119697,0.0171,453,0,0.0000
CO,662,16028,0.0413,655,16135,0.0406,656,16227,0.0404,661,16401,0.0403,668,16471,0.0406,668,16471,0.0406,660,16591,0.0398,675,16646,0.0406,685,16696,0.0410,703,16955,0.0415,709,16979,0.0418,717,17046,0.0421,708,17078,0.0415,716,17146,0.0418,715,17254,0.0414,707,17303,0.0409,708,17360,0.0408,713,17404,0.0410,722,17464,0.0413,713,17725,0.0402,126,17812,0.0071
CT,599,9936,0.0603,601,9967,0.0603,598,10004,0.0598,614,10026,0.0612,612,10053,0.0609,612,10053,0.0609,602,10163,0.0592,609,10183,0.0598,609,10209,0.0597,611,10365,0.0589,608,10391,0.0585,615,10422,0.0590,612,10443,0.0586,614,10479,0.0586,631,10540,0.0599,630,10564,0.0596,629,10580,0.0595,623,10606,0.0587,635,10627,0.0598,644,10751,0.0599,133,0,0.0000
